"Farm.ID","Landscape","Farmtype","Stage","Source","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%"
"MC1","Mount","Cv","Tillering","Rice.herb","0.767","0.158","0.287","0.482","0.707","0.800","0.870","0.943",0.957
"MC1","Mount","Cv","Tillering","Tour.herb","0.111","0.130","0.002","0.005","0.029","0.070","0.143","0.359",0.515
"MC1","Mount","Cv","Tillering","Detritivore","0.122","0.100","0.009","0.015","0.048","0.096","0.168","0.320",0.387
"MC1","Mount","Cv","Flowering","Rice.herb","0.902","0.154","0.287","0.636","0.905","0.947","0.970","0.989",0.992
"MC1","Mount","Cv","Flowering","Tour.herb","0.062","0.141","0.001","0.001","0.008","0.019","0.046","0.316",0.648
"MC1","Mount","Cv","Flowering","Detritivore","0.036","0.037","0.002","0.003","0.011","0.024","0.047","0.114",0.142
"MC1","Mount","Cv","Ripening","Rice.herb","0.946","0.173","0.205","0.551","0.983","0.993","0.997","0.999",0.999
"MC1","Mount","Cv","Ripening","Tour.herb","0.048","0.170","0.000","0.000","0.001","0.003","0.009","0.426",0.778
"MC1","Mount","Cv","Ripening","Detritivore","0.005","0.009","0.000","0.000","0.001","0.003","0.006","0.020",0.027
"MC2","Mount","Cv","Seedling","Rice.herb","0.780","0.185","0.261","0.398","0.700","0.833","0.915","0.974",0.982
"MC2","Mount","Cv","Seedling","Tour.herb","0.094","0.136","0.001","0.002","0.013","0.041","0.115","0.393",0.498
"MC2","Mount","Cv","Seedling","Detritivore","0.126","0.128","0.005","0.008","0.035","0.084","0.175","0.376",0.467
"MC2","Mount","Cv","Tillering","Rice.herb","0.733","0.171","0.285","0.392","0.655","0.766","0.855","0.938",0.957
"MC2","Mount","Cv","Tillering","Tour.herb","0.124","0.128","0.003","0.006","0.036","0.084","0.172","0.369",0.502
"MC2","Mount","Cv","Tillering","Detritivore","0.143","0.127","0.011","0.017","0.054","0.105","0.191","0.409",0.507
"MC2","Mount","Cv","Flowering","Rice.herb","0.887","0.151","0.361","0.591","0.877","0.935","0.966","0.988",0.992
"MC2","Mount","Cv","Flowering","Tour.herb","0.066","0.129","0.001","0.002","0.009","0.024","0.060","0.300",0.549
"MC2","Mount","Cv","Flowering","Detritivore","0.047","0.058","0.002","0.003","0.012","0.027","0.059","0.155",0.212
"MC2","Mount","Cv","Ripening","Rice.herb","0.944","0.169","0.238","0.581","0.979","0.991","0.996","0.999",0.999
"MC2","Mount","Cv","Ripening","Tour.herb","0.049","0.166","0.000","0.000","0.001","0.003","0.011","0.390",0.743
"MC2","Mount","Cv","Ripening","Detritivore","0.007","0.014","0.000","0.000","0.001","0.003","0.008","0.028",0.043
"MC3","Mount","Cv","Tillering","Rice.herb","0.331","0.163","0.068","0.097","0.214","0.311","0.428","0.635",0.701
"MC3","Mount","Cv","Tillering","Tour.herb","0.263","0.197","0.005","0.011","0.096","0.234","0.393","0.628",0.703
"MC3","Mount","Cv","Tillering","Detritivore","0.406","0.214","0.032","0.061","0.243","0.396","0.563","0.774",0.826
"MC3","Mount","Cv","Flowering","Rice.herb","0.634","0.188","0.198","0.282","0.514","0.661","0.777","0.893",0.924
"MC3","Mount","Cv","Flowering","Tour.herb","0.156","0.142","0.004","0.008","0.049","0.116","0.219","0.443",0.532
"MC3","Mount","Cv","Flowering","Detritivore","0.210","0.160","0.015","0.022","0.089","0.169","0.291","0.539",0.606
"MC3","Mount","Cv","Ripening","Rice.herb","0.878","0.169","0.278","0.505","0.866","0.935","0.971","0.991",0.993
"MC3","Mount","Cv","Ripening","Tour.herb","0.076","0.150","0.001","0.001","0.008","0.023","0.063","0.390",0.607
"MC3","Mount","Cv","Ripening","Detritivore","0.047","0.060","0.001","0.002","0.010","0.024","0.059","0.166",0.218
"LO1","Land","Or","Seedling","Rice.herb","0.518","0.184","0.151","0.216","0.389","0.517","0.651","0.823",0.869
"LO1","Land","Or","Seedling","Tour.herb","0.180","0.166","0.003","0.006","0.045","0.135","0.269","0.508",0.602
"LO1","Land","Or","Seedling","Detritivore","0.302","0.184","0.019","0.038","0.159","0.280","0.423","0.645",0.704
"LO1","Land","Or","Tillering","Rice.herb","0.424","0.139","0.168","0.205","0.331","0.418","0.517","0.662",0.708
"LO1","Land","Or","Tillering","Tour.herb","0.256","0.177","0.005","0.013","0.111","0.235","0.375","0.580",0.632
"LO1","Land","Or","Tillering","Detritivore","0.321","0.161","0.037","0.068","0.203","0.310","0.426","0.606",0.655
"LO1","Land","Or","Flowering","Rice.herb","0.729","0.143","0.350","0.460","0.661","0.755","0.831","0.905",0.925
"LO1","Land","Or","Flowering","Tour.herb","0.133","0.123","0.004","0.010","0.045","0.098","0.183","0.379",0.46
"LO1","Land","Or","Flowering","Detritivore","0.138","0.096","0.014","0.022","0.064","0.116","0.188","0.320",0.375
"LO1","Land","Or","Ripening","Rice.herb","0.913","0.156","0.241","0.699","0.921","0.958","0.979","0.992",0.994
"LO1","Land","Or","Ripening","Tour.herb","0.062","0.148","0.001","0.001","0.006","0.017","0.047","0.274",0.696
"LO1","Land","Or","Ripening","Detritivore","0.024","0.028","0.001","0.002","0.007","0.016","0.032","0.078",0.098
"LO2","Land","Or","Tillering","Rice.herb","0.433","0.169","0.127","0.167","0.310","0.429","0.547","0.722",0.776
"LO2","Land","Or","Tillering","Tour.herb","0.252","0.217","0.003","0.008","0.060","0.186","0.415","0.652",0.727
"LO2","Land","Or","Tillering","Detritivore","0.316","0.176","0.020","0.040","0.182","0.312","0.440","0.620",0.665
"LO2","Land","Or","Flowering","Rice.herb","0.730","0.169","0.293","0.396","0.650","0.768","0.851","0.935",0.956
"LO2","Land","Or","Flowering","Tour.herb","0.135","0.142","0.002","0.004","0.027","0.086","0.199","0.428",0.519
"LO2","Land","Or","Flowering","Detritivore","0.136","0.103","0.008","0.015","0.056","0.112","0.190","0.342",0.4
"LO2","Land","Or","Ripening","Rice.herb","0.911","0.170","0.237","0.474","0.926","0.964","0.981","0.994",0.996
"LO2","Land","Or","Ripening","Tour.herb","0.065","0.159","0.000","0.001","0.004","0.015","0.040","0.455",0.7
"LO2","Land","Or","Ripening","Detritivore","0.024","0.029","0.001","0.001","0.006","0.014","0.031","0.080",0.107
"LO3","Land","Or","Tillering","Rice.herb","0.476","0.218","0.071","0.106","0.297","0.508","0.632","0.817",0.87
"LO3","Land","Or","Tillering","Tour.herb","0.261","0.271","0.003","0.007","0.036","0.115","0.511","0.760",0.819
"LO3","Land","Or","Tillering","Detritivore","0.263","0.164","0.015","0.029","0.122","0.254","0.385","0.537",0.587
"LO3","Land","Or","Ripening","Rice.herb","0.913","0.176","0.207","0.451","0.932","0.971","0.987","0.996",0.997
"LO3","Land","Or","Ripening","Tour.herb","0.068","0.167","0.000","0.000","0.003","0.011","0.043","0.493",0.736
"LO3","Land","Or","Ripening","Detritivore","0.019","0.025","0.001","0.001","0.004","0.011","0.025","0.065",0.087
"LC1","Land","Cv","Tillering","Rice.herb","0.460","0.131","0.189","0.229","0.373","0.469","0.550","0.661",0.697
"LC1","Land","Cv","Tillering","Tour.herb","0.221","0.164","0.007","0.018","0.097","0.178","0.313","0.545",0.621
"LC1","Land","Cv","Tillering","Detritivore","0.320","0.135","0.055","0.092","0.227","0.318","0.408","0.543",0.587
"LC1","Land","Cv","Flowering","Rice.herb","0.759","0.139","0.344","0.468","0.708","0.790","0.852","0.913",0.929
"LC1","Land","Cv","Flowering","Tour.herb","0.112","0.108","0.005","0.009","0.039","0.077","0.149","0.336",0.414
"LC1","Land","Cv","Flowering","Detritivore","0.129","0.081","0.020","0.028","0.069","0.112","0.171","0.289",0.332
"LC1","Land","Cv","Ripening","Rice.herb","0.920","0.166","0.256","0.467","0.941","0.966","0.982","0.993",0.995
"LC1","Land","Cv","Ripening","Tour.herb","0.059","0.157","0.001","0.001","0.006","0.014","0.031","0.470",0.677
"LC1","Land","Cv","Ripening","Detritivore","0.021","0.022","0.002","0.002","0.007","0.014","0.028","0.063",0.082
"LC2","Land","Cv","Tillering","Rice.herb","0.399","0.197","0.072","0.105","0.250","0.383","0.529","0.765",0.815
"LC2","Land","Cv","Tillering","Tour.herb","0.221","0.195","0.003","0.009","0.067","0.169","0.325","0.621",0.725
"LC2","Land","Cv","Tillering","Detritivore","0.380","0.220","0.028","0.051","0.199","0.371","0.547","0.754",0.808
"LC2","Land","Cv","Ripening","Rice.herb","0.897","0.176","0.202","0.492","0.903","0.956","0.980","0.994",0.996
"LC2","Land","Cv","Ripening","Tour.herb","0.067","0.163","0.000","0.001","0.005","0.015","0.043","0.418",0.718
"LC2","Land","Cv","Ripening","Detritivore","0.036","0.046","0.001","0.002","0.007","0.019","0.045","0.132",0.17
"LC3","Land","Cv","Tillering","Rice.herb","0.701","0.147","0.314","0.441","0.630","0.717","0.798","0.906",0.931
"LC3","Land","Cv","Tillering","Tour.herb","0.139","0.125","0.003","0.006","0.044","0.106","0.197","0.390",0.472
"LC3","Land","Cv","Tillering","Detritivore","0.160","0.102","0.014","0.023","0.079","0.145","0.227","0.347",0.386
"LC3","Land","Cv","Flowering","Rice.herb","0.873","0.173","0.203","0.411","0.877","0.922","0.954","0.980",0.986
"LC3","Land","Cv","Flowering","Tour.herb","0.078","0.159","0.001","0.002","0.012","0.028","0.062","0.513",0.722
"LC3","Land","Cv","Flowering","Detritivore","0.049","0.043","0.004","0.006","0.018","0.036","0.066","0.133",0.161
"LC3","Land","Cv","Ripening","Rice.herb","0.933","0.202","0.105","0.280","0.978","0.989","0.995","0.998",0.999
"LC3","Land","Cv","Ripening","Tour.herb","0.060","0.200","0.000","0.000","0.001","0.004","0.011","0.701",0.881
"LC3","Land","Cv","Ripening","Detritivore","0.007","0.009","0.000","0.000","0.002","0.004","0.009","0.025",0.032
"SO1","Sea","Or","Seedling","Rice.herb","0.312","0.181","0.039","0.062","0.190","0.287","0.403","0.648",0.795
"SO1","Sea","Or","Seedling","Tour.herb","0.094","0.165","0.001","0.001","0.008","0.029","0.092","0.481",0.68
"SO1","Sea","Or","Seedling","Detritivore","0.593","0.222","0.018","0.063","0.497","0.637","0.753","0.874",0.903
"SO1","Sea","Or","Tillering","Rice.herb","0.232","0.144","0.044","0.063","0.144","0.211","0.284","0.434",0.671
"SO1","Sea","Or","Tillering","Tour.herb","0.111","0.206","0.002","0.004","0.020","0.044","0.089","0.767",0.854
"SO1","Sea","Or","Tillering","Detritivore","0.657","0.225","0.013","0.033","0.629","0.720","0.789","0.873",0.895
"SO1","Sea","Or","Flowering","Rice.herb","0.553","0.193","0.070","0.134","0.454","0.583","0.681","0.816",0.885
"SO1","Sea","Or","Flowering","Tour.herb","0.090","0.155","0.002","0.003","0.011","0.028","0.070","0.491",0.598
"SO1","Sea","Or","Flowering","Detritivore","0.358","0.171","0.021","0.044","0.248","0.357","0.470","0.642",0.7
"SO1","Sea","Or","Ripening","Rice.herb","0.852","0.211","0.059","0.171","0.849","0.919","0.959","0.987",0.992
"SO1","Sea","Or","Ripening","Tour.herb","0.068","0.193","0.000","0.000","0.002","0.007","0.021","0.681",0.823
"SO1","Sea","Or","Ripening","Detritivore","0.080","0.071","0.002","0.005","0.026","0.059","0.114","0.226",0.266
"SC1","Sea","Cv","Tillering","Rice.herb","0.475","0.157","0.175","0.226","0.368","0.471","0.579","0.743",0.799
"SC1","Sea","Cv","Tillering","Tour.herb","0.218","0.167","0.003","0.011","0.080","0.185","0.323","0.532",0.602
"SC1","Sea","Cv","Tillering","Detritivore","0.307","0.173","0.026","0.046","0.170","0.294","0.432","0.610",0.66
"SC1","Sea","Cv","Flowering","Rice.herb","0.758","0.150","0.363","0.474","0.686","0.784","0.866","0.944",0.96
"SC1","Sea","Cv","Flowering","Tour.herb","0.115","0.118","0.003","0.005","0.029","0.075","0.162","0.365",0.433
"SC1","Sea","Cv","Flowering","Detritivore","0.126","0.096","0.008","0.013","0.051","0.105","0.183","0.314",0.366
"SC1","Sea","Cv","Ripening","Rice.herb","0.918","0.163","0.267","0.511","0.933","0.968","0.984","0.995",0.997
"SC1","Sea","Cv","Ripening","Tour.herb","0.060","0.154","0.000","0.001","0.004","0.012","0.035","0.428",0.679
"SC1","Sea","Cv","Ripening","Detritivore","0.022","0.026","0.001","0.001","0.005","0.013","0.028","0.072",0.098
