"","Farm.ID","Farmtype","Stage","Total.Abd","Trophic","Rel.Abd"
"95","SO-1","Or","Tillering",138,"Rice.herb",0.734042553191489
"96","SO-1","Or","Tillering",50,"Detritivore",0.265957446808511
"97","SO-1","Or","Flowering",55,"Rice.herb",0.743243243243243
"98","SO-1","Or","Flowering",19,"Detritivore",0.256756756756757
"99","SO-1","Or","Ripening",3,"Rice.herb",0.6
"100","SO-1","Or","Ripening",2,"Detritivore",0.4
"101","SC-1","Cv","Seedling",319,"Detritivore",1
"102","SC-1","Cv","Tillering",32,"Rice.herb",0.484848484848485
"103","SC-1","Cv","Tillering",2,"Tour.herb",0.0303030303030303
"104","SC-1","Cv","Tillering",32,"Detritivore",0.484848484848485
"105","SC-1","Cv","Flowering",78,"Rice.herb",0.804123711340206
"106","SC-1","Cv","Flowering",19,"Detritivore",0.195876288659794
"107","SC-1","Cv","Ripening",2,"Rice.herb",0.666666666666667
"108","SC-1","Cv","Ripening",1,"Detritivore",0.333333333333333
